Case_ID,Activity,timestamp
Case 1011,Take in charge ticket,2011/09/06 15:44:54
Case 1011,Resolve ticket,2011/09/06 15:55:58
Case 1011,Closed,2011/10/22 15:40:25
Case 1012,Assign seriousness,2010/05/25 15:14:28
Case 1012,Take in charge ticket,2010/05/28 15:38:09
Case 1012,Resolve ticket,2010/05/28 15:38:45
Case 1012,Closed,2010/06/26 15:20:26
Case 1013,Assign seriousness,2011/11/30 16:32:54
Case 1013,Resolve ticket,2011/12/12 16:50:49
Case 1013,Closed,2012/01/13 16:40:37
Case 1014,Assign seriousness,2010/12/28 10:41:06
Case 1014,Take in charge ticket,2010/12/30 08:50:44
Case 1014,Wait,2010/12/30 08:51:13
Case 1014,Take in charge ticket,2011/01/13 16:53:03
Case 1014,Resolve ticket,2011/01/13 16:55:17
Case 1014,Closed,2011/01/28 16:55:37
Case 1016,Assign seriousness,2011/04/13 07:43:01
Case 1016,Take in charge ticket,2011/04/13 07:45:30
Case 1016,Resolve ticket,2011/04/13 14:57:33
Case 1016,Closed,2011/06/11 07:50:56
Case 1018,Assign seriousness,2010/09/16 09:03:22
Case 1018,Take in charge ticket,2010/09/16 09:48:31
Case 1018,Resolve ticket,2010/09/21 08:24:19
Case 1018,Closed,2010/11/05 09:24:51
Case 1021,Assign seriousness,2010/05/18 14:59:36
Case 1021,Take in charge ticket,2010/05/19 08:08:06
Case 1021,Resolve ticket,2010/05/20 10:17:39
Case 1021,Closed,2010/06/25 15:01:30
Case 1024,Assign seriousness,2011/07/14 07:22:19
Case 1024,Assign seriousness,2011/07/15 10:40:41
Case 1024,Take in charge ticket,2011/07/15 12:44:17
Case 1024,Resolve ticket,2011/07/18 08:33:09
Case 1024,Closed,2011/08/20 07:31:38
Case 1025,Assign seriousness,2011/03/18 09:41:58
Case 1025,Take in charge ticket,2011/03/18 09:42:34
Case 1025,Wait,2011/03/25 14:24:59
Case 1025,Take in charge ticket,2011/04/20 15:42:11
Case 1025,Resolve ticket,2011/04/20 15:42:20
Case 1025,Closed,2011/05/05 15:42:36
Case 1028,Assign seriousness,2010/12/28 08:31:42
Case 1028,Take in charge ticket,2011/01/14 10:45:45
Case 1028,Resolve ticket,2011/01/14 10:46:06
Case 1028,Closed,2011/01/29 10:46:26
Case 103,Assign seriousness,2010/06/07 07:30:54
Case 103,Assign seriousness,2010/06/07 07:49:10
Case 103,Take in charge ticket,2010/06/07 15:16:44
Case 103,Wait,2010/06/08 10:37:29
Case 103,Take in charge ticket,2010/06/09 07:18:05
Case 103,Create SW anomaly,2010/06/09 07:18:28
Case 103,Resolve ticket,2010/06/16 09:23:07
Case 103,Closed,2010/07/16 09:23:33
Case 1030,Assign seriousness,2010/02/04 09:40:52
Case 1030,Assign seriousness,2010/02/04 09:41:05
Case 1030,Take in charge ticket,2010/02/04 09:41:23
Case 1030,Create SW anomaly,2010/02/04 09:41:33
Case 1030,Resolve ticket,2010/02/22 14:05:31
Case 1030,Closed,2010/03/09 14:05:44
Case 1031,Assign seriousness,2011/02/24 13:41:36
Case 1031,Take in charge ticket,2011/02/24 13:41:54
Case 1031,Wait,2011/03/07 16:53:23
Case 1031,Take in charge ticket,2011/03/25 09:53:46
Case 1031,Resolve ticket,2011/03/25 09:54:11
Case 1031,Closed,2011/04/15 14:50:58
Case 1033,Assign seriousness,2011/11/10 08:25:05
Case 1033,Take in charge ticket,2011/11/18 11:29:26
Case 1033,Wait,2011/11/23 16:07:21
Case 1033,Resolve ticket,2011/12/12 09:40:33
Case 1033,Closed,2011/12/29 11:10:47
Case 1034,Assign seriousness,2011/12/13 08:22:23
Case 1034,Take in charge ticket,2011/12/13 08:27:18
Case 1034,Resolve ticket,2011/12/13 11:50:30
Case 1034,Closed,2012/01/13 08:30:30
Case 1035,Assign seriousness,2010/12/20 13:19:58
Case 1035,Assign seriousness,2010/12/20 16:42:41
Case 1035,Take in charge ticket,2010/12/20 16:42:50
Case 1035,Wait,2010/12/21 08:59:57
Case 1035,Take in charge ticket,2010/12/22 16:57:41
Case 1035,Resolve ticket,2010/12/22 16:58:03
Case 1035,Closed,2011/01/21 16:58:17
Case 1037,Assign seriousness,2011/10/24 10:11:15
Case 1037,Take in charge ticket,2011/10/24 10:19:04
Case 1037,Resolve ticket,2011/10/24 11:02:57
Case 1037,Closed,2011/12/09 11:20:28
Case 104,Assign seriousness,2011/01/27 08:34:59
Case 104,Take in charge ticket,2011/01/27 09:32:40
Case 104,Resolve ticket,2011/01/27 09:34:24
Case 104,Closed,2011/03/05 08:42:36
Case 1044,Assign seriousness,2010/05/13 14:45:13
Case 1044,Take in charge ticket,2010/05/17 16:21:00
Case 1044,Resolve ticket,2010/05/17 17:10:24
Case 1044,Take in charge ticket,2010/05/18 08:21:15
Case 1044,Wait,2010/05/18 08:44:56
Case 1044,Take in charge ticket,2010/05/18 09:26:17
Case 1044,Resolve ticket,2010/05/18 09:28:09
Case 1044,Closed,2010/06/26 14:50:32
Case 1045,Assign seriousness,2011/06/24 10:10:25
Case 1045,Take in charge ticket,2011/06/27 13:36:12
Case 1045,Resolve ticket,2011/06/27 13:37:30
Case 1045,Closed,2011/08/22 10:20:40
Case 1047,Assign seriousness,2011/07/14 10:17:31
Case 1047,Assign seriousness,2011/07/15 07:34:30
Case 1047,Take in charge ticket,2011/07/15 09:49:56
Case 1047,Wait,2011/07/15 09:51:05
Case 1047,Resolve ticket,2011/07/15 13:18:05
Case 1047,Closed,2011/08/27 10:20:45
Case 1048,Assign seriousness,2010/12/13 10:53:33
Case 1048,Take in charge ticket,2010/12/13 10:53:45
Case 1048,Wait,2010/12/13 10:54:14
Case 1048,Take in charge ticket,2010/12/30 08:41:02
Case 1048,Resolve ticket,2010/12/30 08:41:14
Case 1048,Closed,2011/01/19 08:50:44
Case 1050,Assign seriousness,2011/05/12 08:27:06
Case 1050,Take in charge ticket,2011/05/12 08:27:37
Case 1050,Wait,2011/05/13 10:46:18
Case 1050,Take in charge ticket,2011/05/20 07:05:57
Case 1050,Resolve ticket,2011/05/20 07:06:09
Case 1050,Take in charge ticket,2011/06/07 09:09:31
Case 1050,Wait,2011/06/08 08:09:20
Case 1050,Take in charge ticket,2011/06/08 12:44:40
Case 1050,Resolve ticket,2011/06/08 12:44:48
Case 1050,Closed,2011/06/23 12:44:59
Case 1051,Assign seriousness,2010/12/27 08:06:01
Case 1051,Take in charge ticket,2010/12/27 14:46:09
Case 1051,Resolve ticket,2011/01/18 11:26:09
Case 1051,Closed,2011/02/02 11:26:23
Case 1052,Assign seriousness,2011/02/03 14:26:08
Case 1052,Take in charge ticket,2011/02/03 16:19:25
Case 1052,Resolve ticket,2011/02/03 16:20:49
Case 1052,Closed,2011/04/03 13:30:41
Case 1053,Assign seriousness,2011/06/30 14:53:16
Case 1053,Assign seriousness,2011/06/30 14:53:32
Case 1053,Take in charge ticket,2011/07/05 14:22:24
Case 1053,Wait,2011/07/05 14:26:48
Case 1053,Resolve ticket,2011/07/20 13:19:43
Case 1053,Closed,2011/08/04 13:20:00
Case 1060,Assign seriousness,2011/09/02 13:25:55
Case 1060,Take in charge ticket,2011/09/14 13:30:44
Case 1060,Resolve ticket,2011/09/19 13:56:27
Case 1060,Closed,2011/10/04 13:56:37
Case 1061,Assign seriousness,2011/06/21 08:55:05
Case 1061,Assign seriousness,2011/06/21 08:55:21
Case 1061,Take in charge ticket,2011/06/27 09:24:28
Case 1061,Wait,2011/07/20 13:14:44
Case 1061,Resolve ticket,2011/07/28 09:26:55
Case 1061,Closed,2011/08/12 09:27:14
Case 1065,Assign seriousness,2011/08/22 14:39:21
Case 1065,Resolve ticket,2011/08/25 12:58:59
Case 1065,Closed,2011/09/22 14:40:15
Case 1069,Assign seriousness,2011/06/21 14:09:39
Case 1069,Take in charge ticket,2011/06/21 14:10:08
Case 1069,Resolve ticket,2011/06/21 14:10:56
Case 1069,Closed,2011/07/24 14:11:08
Case 1071,Assign seriousness,2011/05/18 09:38:14
Case 1071,Take in charge ticket,2011/05/18 09:38:35
Case 1071,Resolve ticket,2011/05/23 10:35:13
Case 1071,Closed,2011/07/01 09:40:32
Case 1074,Assign seriousness,2011/10/28 10:45:32
Case 1074,Take in charge ticket,2011/11/02 16:41:16
Case 1074,Wait,2011/11/10 14:21:37
Case 1074,Resolve ticket,2011/11/17 13:49:37
Case 1074,Closed,2011/12/07 11:10:25
Case 1077,Assign seriousness,2010/09/01 15:21:14
Case 1077,Assign seriousness,2010/09/02 07:28:41
Case 1077,Take in charge ticket,2010/09/09 10:02:08
Case 1077,Resolve ticket,2010/09/09 10:18:11
Case 1077,Closed,2010/10/30 15:31:26
Case 1078,Assign seriousness,2011/02/09 11:06:02
Case 1078,Take in charge ticket,2011/02/09 11:08:31
Case 1078,Resolve ticket,2011/02/09 14:12:01
Case 1078,Resolve ticket,2011/02/09 14:12:02
Case 1078,Closed,2011/03/16 11:10:57
Case 108,Assign seriousness,2011/01/12 11:28:16
Case 108,Take in charge ticket,2011/01/24 09:21:26
Case 108,Resolve ticket,2011/01/26 08:12:39
Case 108,Closed,2011/02/25 08:13:02
Case 1080,Insert ticket,2010/06/09 10:33:30
Case 1080,Assign seriousness,2010/06/09 10:33:39
Case 1080,Take in charge ticket,2010/06/09 10:34:14
Case 1080,Wait,2010/06/09 10:50:30
Case 1080,Take in charge ticket,2010/06/30 15:52:44
Case 1080,Resolve ticket,2010/06/30 15:54:13
Case 1080,Closed,2010/07/15 15:54:29
Case 1081,Assign seriousness,2011/11/14 10:15:37
Case 1081,Take in charge ticket,2011/11/16 16:08:22
Case 1081,Wait,2011/11/17 08:31:09
Case 1081,Resolve ticket,2011/11/22 16:37:07
Case 1081,Closed,2011/12/28 09:20:21
Case 1082,Assign seriousness,2011/08/22 09:38:09
Case 1082,Take in charge ticket,2011/08/29 08:23:11
Case 1082,Resolve ticket,2011/09/19 13:03:33
Case 1082,Closed,2011/10/19 13:03:55
Case 1085,Assign seriousness,2010/09/30 09:29:04
Case 1085,Take in charge ticket,2010/10/04 08:40:12
Case 1085,Schedule intervention,2010/10/04 08:41:36
Case 1085,Take in charge ticket,2010/10/05 07:33:37
Case 1085,Wait,2010/10/05 07:34:10
Case 1085,Take in charge ticket,2010/10/05 07:34:51
Case 1085,Resolve ticket,2010/10/05 07:34:59
Case 1085,Closed,2010/11/18 09:20:48
Case 1089,Assign seriousness,2011/03/10 14:37:52
Case 1089,Take in charge ticket,2011/03/10 14:38:31
Case 1089,Wait,2011/03/10 14:44:28
Case 1089,Take in charge ticket,2011/03/30 10:26:44
Case 1089,Resolve ticket,2011/03/30 10:26:55
Case 1089,Closed,2011/04/29 10:27:10
Case 109,Assign seriousness,2010/09/24 15:35:31
Case 109,Take in charge ticket,2010/09/27 09:11:48
Case 109,Wait,2010/09/28 08:31:41
Case 109,Take in charge ticket,2010/11/08 09:33:36
Case 109,Resolve ticket,2010/11/08 09:33:57
Case 109,Closed,2010/11/23 09:34:09
Case 1091,Take in charge ticket,2011/11/22 11:03:51
Case 1091,Wait,2011/11/23 10:43:12
Case 1091,Resolve ticket,2011/12/02 13:30:54
Case 1091,Closed,2011/12/24 14:00:27
Case 1095,Assign seriousness,2011/09/26 15:01:58
Case 1095,Assign seriousness,2011/09/28 15:28:26
Case 1095,Resolve ticket,2011/09/28 15:28:35
Case 1095,Closed,2011/11/11 16:12:58
Case 1097,Assign seriousness,2010/04/08 13:02:28
Case 1097,Take in charge ticket,2010/04/08 13:02:52
Case 1097,Create SW anomaly,2010/04/09 09:34:14
Case 1097,Resolve ticket,2010/05/03 15:25:42
Case 1097,Take in charge ticket,2010/05/06 07:41:12
Case 1097,Resolve ticket,2010/05/06 13:36:31
Case 1097,Closed,2010/05/21 13:36:47
Case 1098,Assign seriousness,2011/07/08 13:48:51
Case 1098,Assign seriousness,2011/07/13 16:01:04
Case 1098,Take in charge ticket,2011/07/13 16:01:28
Case 1098,Resolve ticket,2011/07/21 15:51:24
Case 1098,Closed,2011/08/10 13:50:19
Case 1099,Assign seriousness,2010/06/23 15:01:22
Case 1099,Take in charge ticket,2010/06/28 11:07:41
Case 1099,Resolve ticket,2010/06/28 11:08:00
Case 1099,Closed,2010/08/06 15:11:06
Case 110,Assign seriousness,2010/12/16 09:33:24
Case 110,Take in charge ticket,2010/12/16 09:40:25
Case 110,Resolve ticket,2010/12/16 15:52:50
Case 110,Closed,2011/02/13 09:40:36
Case 1100,Assign seriousness,2010/10/22 12:35:14
Case 1100,Take in charge ticket,2010/10/22 12:40:36
Case 1100,Wait,2010/10/26 10:16:18
Case 1100,Take in charge ticket,2010/11/05 14:10:58
Case 1100,Resolve ticket,2010/11/05 14:11:21
Case 1100,Closed,2010/12/04 15:41:48
Case 1105,Assign seriousness,2011/10/18 12:06:24
Case 1105,Assign seriousness,2011/10/18 13:17:30
Case 1105,Assign seriousness,2011/10/18 13:17:31
Case 1105,Take in charge ticket,2011/10/20 07:45:22
Case 1105,Resolve ticket,2011/10/20 08:14:31
Case 1105,Resolve ticket,2011/10/20 08:14:31
Case 1105,Closed,2011/12/10 13:10:36
Case 1107,Assign seriousness,2011/10/13 07:17:13
Case 1107,Take in charge ticket,2011/10/14 12:41:30
Case 1107,Resolve ticket,2011/10/14 13:22:09
Case 1107,Closed,2011/11/15 08:20:41
Case 1108,Assign seriousness,2011/03/01 08:24:41
Case 1108,Take in charge ticket,2011/03/01 08:25:14
Case 1108,Resolve ticket,2011/03/01 11:29:13
Case 1108,Closed,2011/04/03 07:31:40
Case 111,Assign seriousness,2010/06/29 14:00:48
Case 111,Take in charge ticket,2010/06/29 15:16:26
Case 111,Resolve ticket,2010/06/30 08:05:04
Case 111,Take in charge ticket,2010/06/30 14:19:00
Case 111,Wait,2010/07/01 09:00:03
Case 111,Take in charge ticket,2010/07/02 14:07:18
Case 111,Resolve ticket,2010/07/02 14:08:52
Case 111,Closed,2010/08/05 14:10:24
Case 1114,Assign seriousness,2011/05/25 09:38:13
Case 1114,Take in charge ticket,2011/05/25 09:38:37
Case 1114,Wait,2011/05/26 08:43:14
Case 1114,Take in charge ticket,2011/06/01 09:54:03
Case 1114,Take in charge ticket,2011/06/07 07:44:55
Case 1114,Wait,2011/06/07 10:32:28
Case 1114,Take in charge ticket,2011/06/07 14:24:59
Case 1114,Wait,2011/06/07 14:28:58
Case 1114,Take in charge ticket,2011/06/22 13:01:13
Case 1114,Resolve ticket,2011/06/22 13:02:19
Case 1114,Closed,2011/07/07 13:02:33
Case 1117,Assign seriousness,2011/10/26 15:30:54
Case 1117,Take in charge ticket,2011/11/02 08:13:17
Case 1117,Resolve ticket,2011/11/02 08:13:25
Case 1117,Closed,2011/11/26 16:40:24
Case 1118,Assign seriousness,2011/09/05 14:28:02
Case 1118,Assign seriousness,2011/09/09 10:03:27
Case 1118,Take in charge ticket,2011/09/15 10:57:15
Case 1118,Resolve ticket,2011/09/15 15:06:12
Case 1118,Closed,2011/10/06 14:31:07
Case 1119,Assign seriousness,2011/05/26 08:26:22
Case 1119,Take in charge ticket,2011/05/26 08:26:50
Case 1119,Resolve ticket,2011/05/31 15:00:20
Case 1119,Closed,2011/07/09 08:30:30
Case 112,Assign seriousness,2011/10/06 07:50:55
Case 112,Take in charge ticket,2011/10/07 14:03:47
Case 112,Resolve ticket,2011/10/14 14:44:32
Case 112,Closed,2011/11/08 09:00:20
Case 1121,Assign seriousness,2010/04/28 13:40:05
Case 1121,Take in charge ticket,2010/05/12 09:51:57
Case 1121,Resolve ticket,2010/05/12 09:52:03
Case 1121,Closed,2010/05/29 13:50:19
Case 1123,Assign seriousness,2010/11/16 10:40:24
Case 1123,Take in charge ticket,2010/11/16 10:40:56
Case 1123,Resolve ticket,2010/11/16 11:32:57
Case 1123,Closed,2010/12/30 10:50:27
Case 113,Insert ticket,2010/05/06 15:51:48
Case 113,Assign seriousness,2010/05/24 10:23:15
Case 113,Take in charge ticket,2010/05/25 13:48:24
Case 113,Resolve ticket,2010/05/25 14:11:28
Case 113,Closed,2010/06/09 14:11:39
Case 1130,Assign seriousness,2010/02/09 16:07:04
Case 1130,Take in charge ticket,2010/02/09 16:07:11
Case 1130,Resolve ticket,2010/02/09 16:07:18
Case 1130,Closed,2010/03/29 15:11:23
Case 1139,Assign seriousness,2011/12/13 15:51:46
Case 1139,Take in charge ticket,2011/12/13 15:52:10
Case 1139,Resolve ticket,2011/12/13 16:57:49
Case 1139,Closed,2012/01/13 16:00:22
Case 1140,Assign seriousness,2011/01/19 09:17:21
Case 1140,Take in charge ticket,2011/01/25 10:28:10
Case 1140,Wait,2011/01/25 16:33:05
Case 1140,Take in charge ticket,2011/02/09 11:37:25
Case 1140,Resolve ticket,2011/02/09 11:37:34
Case 1140,Closed,2011/03/05 14:20:39
Case 1141,Assign seriousness,2010/08/11 12:41:35
Case 1141,Take in charge ticket,2010/08/30 15:03:37
Case 1141,Wait,2010/08/30 15:04:04
Case 1141,Take in charge ticket,2010/09/13 08:50:59
Case 1141,Wait,2010/09/13 08:51:37
Case 1141,Take in charge ticket,2010/09/13 10:33:01
Case 1141,Wait,2010/09/13 10:33:06
Case 1141,Take in charge ticket,2010/09/13 10:33:18
Case 1141,Wait,2010/09/13 10:33:27
Case 1141,Take in charge ticket,2010/09/20 09:04:20
Case 1141,Resolve ticket,2010/09/20 09:04:28
Case 1141,Closed,2010/10/05 09:04:36
Case 1146,Assign seriousness,2011/04/04 10:13:39
Case 1146,Take in charge ticket,2011/04/04 10:14:04
Case 1146,Resolve ticket,2011/04/04 10:16:27
Case 1146,Closed,2011/05/05 10:20:21
Case 1147,Assign seriousness,2011/01/11 11:54:55
Case 1147,Take in charge ticket,2011/01/14 08:33:59
Case 1147,Resolve ticket,2011/01/14 08:52:06
Case 1147,Closed,2011/03/11 12:00:54
Case 1148,Assign seriousness,2010/12/14 11:04:53
Case 1148,Take in charge ticket,2010/12/14 11:05:16
Case 1148,Resolve ticket,2010/12/14 11:05:33
Case 1148,Closed,2011/01/27 11:10:35
Case 1149,Assign seriousness,2011/10/25 07:25:02
Case 1149,Take in charge ticket,2011/10/25 07:26:54
Case 1149,Resolve ticket,2011/10/25 09:50:54
Case 1149,Closed,2011/12/08 08:31:06
Case 1150,Assign seriousness,2010/10/11 08:44:04
Case 1150,Take in charge ticket,2010/10/11 15:25:04
Case 1150,Resolve ticket,2010/10/11 15:25:54
Case 1150,Closed,2010/11/11 09:50:24
Case 1151,Assign seriousness,2010/05/24 16:34:26
Case 1151,Take in charge ticket,2010/06/29 16:11:34
Case 1151,Resolve ticket,2010/06/29 16:18:05
Case 1151,Closed,2010/07/14 16:18:25
Case 1152,Assign seriousness,2010/10/05 08:03:32
Case 1152,Take in charge ticket,2010/10/06 08:51:51
Case 1152,Resolve ticket,2010/10/06 08:59:12
Case 1152,Closed,2010/11/05 09:11:01
Case 1155,Assign seriousness,2010/09/16 12:40:30
Case 1155,Take in charge ticket,2010/09/22 13:06:53
Case 1155,Wait,2010/09/23 08:55:05
Case 1155,Take in charge ticket,2010/09/30 13:01:01
Case 1155,Resolve ticket,2010/09/30 13:01:10
Case 1155,Closed,2010/11/14 14:01:36
Case 1157,Assign seriousness,2011/09/14 15:45:59
Case 1157,Take in charge ticket,2011/09/26 15:57:04
Case 1157,Resolve ticket,2011/09/28 07:56:30
Case 1157,Closed,2011/10/28 15:51:18
Case 1158,Assign seriousness,2011/06/23 07:35:48
Case 1158,Assign seriousness,2011/06/23 07:36:08
Case 1158,Take in charge ticket,2011/06/23 09:52:00
Case 1158,Wait,2011/06/23 10:00:20
Case 1158,Take in charge ticket,2011/07/21 13:33:50
Case 1158,Resolve ticket,2011/07/21 13:33:58
Case 1158,Closed,2011/08/05 13:34:19
Case 116,Assign seriousness,2011/04/08 13:02:03
Case 116,Take in charge ticket,2011/04/08 13:02:38
Case 116,Resolve ticket,2011/04/08 13:07:10
Case 116,Closed,2011/05/30 13:11:18
Case 1160,Assign seriousness,2011/04/14 07:32:36
Case 1160,Take in charge ticket,2011/04/14 07:58:44
Case 1160,Resolve ticket,2011/04/14 15:03:02
Case 1160,Closed,2011/05/28 07:40:40
Case 1162,Assign seriousness,2011/01/26 14:45:02
Case 1162,Take in charge ticket,2011/01/27 08:40:54
Case 1162,Resolve ticket,2011/01/31 13:34:41
Case 1162,Closed,2011/03/13 14:50:35
Case 1165,Assign seriousness,2010/09/15 07:50:56
Case 1165,Take in charge ticket,2010/09/15 07:51:39
Case 1165,Resolve ticket,2010/09/15 07:52:02
Case 1165,Closed,2010/10/29 08:00:22
Case 1166,Assign seriousness,2010/10/25 13:16:01
Case 1166,Take in charge ticket,2010/10/26 07:49:21
Case 1166,Resolve ticket,2010/10/26 07:50:24
Case 1166,Closed,2010/11/26 14:22:13
Case 1167,Assign seriousness,2011/02/14 09:03:48
Case 1167,Take in charge ticket,2011/02/14 09:04:20
Case 1167,Wait,2011/02/15 16:14:19
Case 1167,Take in charge ticket,2011/03/14 09:31:02
Case 1167,Resolve ticket,2011/03/14 09:31:18
Case 1167,Closed,2011/04/12 10:32:07
Case 1168,Assign seriousness,2011/06/17 15:59:46
Case 1168,Wait,2011/06/17 16:00:22
Case 1168,Take in charge ticket,2011/07/06 16:08:34
Case 1168,Resolve ticket,2011/07/19 07:57:22
Case 1168,Resolve ticket,2011/07/19 07:57:23
Case 1168,Closed,2011/08/03 07:57:38
Case 1170,Assign seriousness,2011/01/31 09:12:34
Case 1170,Take in charge ticket,2011/01/31 10:43:27
Case 1170,Resolve ticket,2011/02/01 16:37:01
Case 1170,Closed,2011/03/03 09:20:27
Case 1171,Assign seriousness,2011/12/13 08:19:55
Case 1171,Take in charge ticket,2011/12/13 11:13:25
Case 1171,Resolve ticket,2011/12/13 11:22:43
Case 1171,Closed,2012/01/28 08:21:08
Case 1173,Assign seriousness,2010/06/22 14:33:44
Case 1173,Take in charge ticket,2010/06/30 15:24:53
Case 1173,Wait,2010/07/01 09:02:51
Case 1173,Take in charge ticket,2010/07/06 09:36:29
Case 1173,Create SW anomaly,2010/07/06 10:36:50
Case 1173,Resolve ticket,2010/07/12 08:37:51
Case 1173,Take in charge ticket,2010/07/14 14:02:02
Case 1173,Resolve ticket,2010/07/15 10:19:02
Case 1173,Closed,2010/07/30 10:19:31
Case 1174,Assign seriousness,2011/05/18 08:34:39
Case 1174,Take in charge ticket,2011/05/18 08:35:01
Case 1174,Resolve ticket,2011/05/18 15:55:18
Case 1174,Closed,2011/07/07 08:40:29
Case 1177,Assign seriousness,2011/12/12 10:23:38
Case 1177,Take in charge ticket,2011/12/12 11:37:24
Case 1177,Resolve ticket,2011/12/13 14:00:43
Case 1177,Closed,2012/01/12 10:30:18
Case 1178,Assign seriousness,2011/04/05 08:07:00
Case 1178,Take in charge ticket,2011/04/05 08:07:14
Case 1178,Resolve ticket,2011/04/05 08:09:39
Case 1178,Closed,2011/05/08 08:10:44
Case 118,Assign seriousness,2011/03/07 11:02:24
Case 118,Take in charge ticket,2011/03/07 11:02:41
Case 118,Resolve ticket,2011/03/07 13:14:21
Case 118,Closed,2011/04/13 10:10:26
Case 1180,Assign seriousness,2010/07/01 14:30:32
Case 1180,Take in charge ticket,2010/08/09 09:34:20
Case 1180,Wait,2010/08/09 09:34:30
Case 1180,Take in charge ticket,2010/08/10 16:06:20
Case 1180,Resolve ticket,2010/08/10 16:07:04
Case 1180,Closed,2010/08/25 16:07:18
Case 1182,Assign seriousness,2011/03/04 09:29:57
Case 1182,Take in charge ticket,2011/03/04 09:30:34
Case 1182,Resolve ticket,2011/03/18 08:21:06
Case 1182,Closed,2011/04/06 08:32:32
Case 1183,Assign seriousness,2010/07/08 15:35:41
Case 1183,Take in charge ticket,2010/07/08 15:41:10
Case 1183,Wait,2010/07/08 15:41:22
Case 1183,Take in charge ticket,2010/07/09 08:38:50
Case 1183,Resolve ticket,2010/07/09 08:38:59
Case 1183,Closed,2010/08/21 15:40:29
Case 1184,Assign seriousness,2010/05/20 13:58:47
Case 1184,Take in charge ticket,2010/05/26 16:12:55
Case 1184,Resolve ticket,2010/05/26 16:14:20
Case 1184,Closed,2010/06/23 14:00:18
Case 1186,Assign seriousness,2011/10/05 08:59:00
Case 1186,Take in charge ticket,2011/10/21 08:18:58
Case 1186,Resolve ticket,2011/10/21 08:27:54
Case 1186,Closed,2011/11/05 10:00:22
Case 1189,Assign seriousness,2011/03/04 09:10:16
Case 1189,Take in charge ticket,2011/03/04 09:10:37
Case 1189,Wait,2011/03/04 09:25:12
Case 1189,Take in charge ticket,2011/04/14 08:43:04
Case 1189,Resolve ticket,2011/04/14 08:43:14
Case 1189,Closed,2011/04/29 08:43:32
Case 119,Assign seriousness,2011/12/05 14:22:17
Case 119,Take in charge ticket,2011/12/05 14:58:56
Case 119,Resolve ticket,2011/12/13 09:22:04
Case 119,Closed,2012/02/02 14:30:45
Case 1191,Assign seriousness,2010/02/08 15:06:58
Case 1191,Take in charge ticket,2010/02/08 15:12:00
Case 1191,Wait,2010/02/08 15:12:28
Case 1191,Take in charge ticket,2010/02/25 16:56:34
Case 1191,Resolve ticket,2010/02/26 09:09:32
Case 1191,Closed,2010/03/28 08:10:03
Case 1194,Assign seriousness,2011/01/10 10:50:41
Case 1194,Assign seriousness,2011/01/12 08:54:14
Case 1194,Take in charge ticket,2011/01/12 09:32:22
Case 1194,Resolve ticket,2011/01/12 14:40:13
Case 1194,Closed,2011/03/10 11:00:47
Case 1196,Assign seriousness,2010/02/02 10:17:37
Case 1196,Take in charge ticket,2010/02/15 16:21:37
Case 1196,Resolve ticket,2010/02/15 16:22:30
Case 1196,Closed,2010/03/20 10:20:28
Case 1200,Assign seriousness,2011/06/08 13:51:32
Case 1200,Take in charge ticket,2011/06/09 07:07:27
